-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.012,  0.115
-183.800, 80.199, 0.030,  0.148
-183.800, 80.198, 0.028,  0.181
-183.800, 80.197, 0.031,  0.214
-183.800, 80.194, 0.095,  0.247
-183.798, 80.187, 0.199,  0.280
-183.795, 80.177, 0.322,  0.313
-183.791, 80.161, 0.499,  0.346
-183.784, 80.142, 0.575,  0.379
-183.773, 80.116, 0.796,  0.412
-183.758, 80.086, 0.920,  0.445
-183.740, 80.052, 1.031,  0.478
-183.720, 80.015, 1.172,  0.511
-183.699, 79.973, 1.315,  0.544
-183.677, 79.928, 1.437,  0.577
-183.655, 79.879, 1.524,  0.610
-183.633, 79.830, 1.576,  0.643
-183.612, 79.779, 1.602,  0.676
-183.591, 79.729, 1.611,  0.709
-183.569, 79.678, 1.611,  0.742
-183.548, 79.628, 1.606,  0.775
-183.527, 79.578, 1.598,  0.808
-183.506, 79.529, 1.590,  0.841
-183.484, 79.480, 1.583,  0.874
-183.463, 79.431, 1.579,  0.907
-183.442, 79.382, 1.578,  0.940
-183.420, 79.333, 1.579,  0.973
-183.399, 79.284, 1.582,  1.006
-183.378, 79.235, 1.587,  1.039
-183.356, 79.186, 1.593,  1.072
-183.334, 79.137, 1.600,  1.105
-183.313, 79.087, 1.607,  1.138
-183.291, 79.037, 1.614,  1.171
-183.270, 78.987, 1.621,  1.204
-183.248, 78.937, 1.627,  1.237
-183.226, 78.887, 1.632,  1.270
-183.205, 78.836, 1.638,  1.303
-183.183, 78.786, 1.643,  1.336
-183.162, 78.735, 1.647,  1.369
-183.140, 78.684, 1.652,  1.402
-183.119, 78.633, 1.656,  1.435
-183.098, 78.582, 1.661,  1.468
-183.077, 78.530, 1.666,  1.501
-183.055, 78.478, 1.671,  1.534
-183.034, 78.427, 1.675,  1.567
-183.013, 78.375, 1.680,  1.600
-182.993, 78.322, 1.685,  1.633
-182.972, 78.270, 1.690,  1.666
-182.951, 78.217, 1.695,  1.699
-182.931, 78.164, 1.701,  1.732
