308.858, 129.494, 4.291,  4.379 False
308.715, 129.494, 4.322,  4.412 False
308.570, 129.494, 4.354,  4.445 False
308.424, 129.494, 4.386,  4.478 False
308.277, 129.493, 4.417,  4.511 False
308.129, 129.493, 4.448,  4.544 False
307.980, 129.493, 4.479,  4.577 False
307.830, 129.493, 4.510,  4.610 False
307.679, 129.493, 4.541,  4.643 False
307.526, 129.493, 4.572,  4.676 False
307.373, 129.493, 4.603,  4.709 False
307.219, 129.493, 4.634,  4.742 False
307.064, 129.493, 4.664,  4.775 False
306.908, 129.493, 4.695,  4.808 False
306.750, 129.493, 4.725,  4.841 False
306.592, 129.493, 4.756,  4.874 False
306.433, 129.493, 4.787,  4.907 False
306.272, 129.493, 4.817,  4.940 False
306.111, 129.493, 4.848,  4.973 False
305.949, 129.493, 4.879,  5.006 False
305.785, 129.493, 4.910,  5.039 False
305.621, 129.493, 4.940,  5.072 False
305.456, 129.493, 4.971,  5.105 False
305.289, 129.493, 5.002,  5.138 False
305.121, 129.493, 5.033,  5.171 False
304.953, 129.493, 5.064,  5.204 False
304.783, 129.493, 5.094,  5.237 False
304.613, 129.493, 5.124,  5.270 False
304.441, 129.492, 5.154,  5.303 False
304.269, 129.492, 5.184,  5.336 False
304.095, 129.492, 5.211,  5.369 False
303.921, 129.492, 5.231,  5.402 False
303.747, 129.492, 5.235,  5.435 False
303.572, 129.494, 5.233,  5.468 False
303.398, 129.496, 5.238,  5.501 False
303.223, 129.499, 5.252,  5.534 False
303.048, 129.502, 5.275,  5.567 False
302.871, 129.506, 5.304,  5.600 False
302.693, 129.510, 5.338,  5.633 False
302.514, 129.514, 5.376,  5.666 False
302.334, 129.517, 5.415,  5.699 False
302.153, 129.522, 5.456,  5.732 False
301.970, 129.526, 5.496,  5.765 False
301.785, 129.530, 5.536,  5.798 False
301.600, 129.536, 5.575,  5.831 False
301.413, 129.541, 5.615,  5.864 False
301.225, 129.546, 5.653,  5.897 False
301.035, 129.553, 5.691,  5.930 False
300.845, 129.561, 5.727,  5.963 False
300.653, 129.568, 5.765,  5.996 False
300.460, 129.575, 5.800,  6.029 False
300.266, 129.581, 5.836,  6.062 False
300.070, 129.588, 5.871,  6.095 False
299.874, 129.596, 5.906,  6.128 False
299.676, 129.603, 5.940,  6.161 False
299.477, 129.610, 5.975,  6.194 False
299.277, 129.617, 6.008,  6.227 False
299.076, 129.625, 6.042,  6.260 False
298.874, 129.633, 6.075,  6.293 False
298.671, 129.640, 6.109,  6.326 False
298.467, 129.649, 6.142,  6.359 False
298.261, 129.657, 6.175,  6.392 False
298.055, 129.665, 6.207,  6.425 False
297.847, 129.674, 6.240,  6.458 False
297.638, 129.683, 6.271,  6.491 False
297.429, 129.693, 6.303,  6.524 False
297.218, 129.704, 6.335,  6.557 False
297.006, 129.716, 6.368,  6.590 False
296.794, 129.728, 6.399,  6.623 False
296.580, 129.741, 6.431,  6.656 False
296.365, 129.754, 6.463,  6.689 False
296.149, 129.768, 6.495,  6.722 False
295.932, 129.782, 6.526,  6.755 False
295.714, 129.797, 6.558,  6.788 False
295.495, 129.813, 6.588,  6.821 False
295.276, 129.829, 6.620,  6.854 False
295.055, 129.846, 6.651,  6.887 False
294.833, 129.862, 6.682,  6.920 False
294.610, 129.877, 6.712,  6.953 False
294.386, 129.893, 6.743,  6.986 False
294.161, 129.909, 6.772,  7.019 False
293.935, 129.925, 6.801,  7.052 False
293.708, 129.943, 6.829,  7.085 False
293.480, 129.961, 6.859,  7.118 False
293.252, 129.979, 6.889,  7.151 False
293.022, 129.998, 6.918,  7.184 False
292.791, 130.017, 6.948,  7.217 False
292.560, 130.037, 6.977,  7.250 False
292.327, 130.057, 7.007,  7.283 False
292.094, 130.077, 7.037,  7.316 False
291.860, 130.098, 7.066,  7.349 False
291.624, 130.120, 7.096,  7.382 False
291.388, 130.142, 7.124,  7.415 False
291.151, 130.163, 7.154,  7.448 False
290.912, 130.184, 7.184,  7.481 False
290.673, 130.205, 7.214,  7.514 False
290.433, 130.226, 7.243,  7.547 False
290.191, 130.246, 7.273,  7.580 False
289.949, 130.267, 7.302,  7.613 False
289.706, 130.288, 7.332,  7.646 False
289.461, 130.309, 7.361,  7.679 False
289.216, 130.330, 7.391,  7.712 False
288.970, 130.350, 7.419,  7.745 False
288.723, 130.371, 7.449,  7.778 False
288.475, 130.392, 7.477,  7.811 False
288.225, 130.413, 7.507,  7.844 False
287.975, 130.433, 7.535,  7.877 False
